지점,지점명,일시,실효습도
137,상주,2012-03-20 00:00,46.99
137,상주,2012-03-20 01:00,47.93
137,상주,2012-03-20 02:00,49.08
137,상주,2012-03-20 03:00,50.80
137,상주,2012-03-20 04:00,52.92
137,상주,2012-03-20 05:00,54.46
137,상주,2012-03-20 06:00,55.29
137,상주,2012-03-20 07:00,56.16
137,상주,2012-03-20 08:00,54.87
137,상주,2012-03-20 09:00,50.16
137,상주,2012-03-20 10:00,43.17
137,상주,2012-03-20 11:00,38.18
137,상주,2012-03-20 12:00,31.54
137,상주,2012-03-20 13:00,29.25
137,상주,2012-03-20 14:00,28.76
137,상주,2012-03-20 15:00,27.34
137,상주,2012-03-20 16:00,29.07
137,상주,2012-03-20 17:00,31.23
137,상주,2012-03-20 18:00,33.02
137,상주,2012-03-20 19:00,34.18
137,상주,2012-03-20 20:00,33.82
137,상주,2012-03-20 21:00,35.78
137,상주,2012-03-20 22:00,36.81
137,상주,2012-03-20 23:00,38.88
138,포항,2012-03-20 00:00,70.43
138,포항,2012-03-20 01:00,63.90
138,포항,2012-03-20 02:00,62.98
138,포항,2012-03-20 03:00,62.40
138,포항,2012-03-20 04:00,62.70
138,포항,2012-03-20 05:00,63.55
138,포항,2012-03-20 06:00,65.04
138,포항,2012-03-20 07:00,65.48
138,포항,2012-03-20 08:00,63.98
138,포항,2012-03-20 09:00,60.65
138,포항,2012-03-20 10:00,56.48
138,포항,2012-03-20 11:00,52.77
138,포항,2012-03-20 12:00,53.84
138,포항,2012-03-20 13:00,51.99
138,포항,2012-03-20 14:00,52.56
138,포항,2012-03-20 15:00,55.40
138,포항,2012-03-20 16:00,55.90
138,포항,2012-03-20 17:00,55.96
138,포항,2012-03-20 18:00,56.66
138,포항,2012-03-20 19:00,52.34
138,포항,2012-03-20 20:00,54.41
138,포항,2012-03-20 21:00,56.17
138,포항,2012-03-20 22:00,57.17
138,포항,2012-03-20 23:00,56.48
140,군산,2012-03-20 00:00,59.71
140,군산,2012-03-20 01:00,63.01
140,군산,2012-03-20 02:00,61.73
140,군산,2012-03-20 03:00,62.99
140,군산,2012-03-20 04:00,67.71
140,군산,2012-03-20 05:00,68.91
140,군산,2012-03-20 06:00,65.23
140,군산,2012-03-20 07:00,69.57
140,군산,2012-03-20 08:00,65.17
140,군산,2012-03-20 09:00,58.07
140,군산,2012-03-20 10:00,51.81
140,군산,2012-03-20 11:00,50.68
140,군산,2012-03-20 12:00,48.28
140,군산,2012-03-20 13:00,47.57
140,군산,2012-03-20 14:00,54.38
140,군산,2012-03-20 15:00,54.68
140,군산,2012-03-20 16:00,51.72
140,군산,2012-03-20 17:00,50.17
140,군산,2012-03-20 18:00,52.17
140,군산,2012-03-20 19:00,56.63
140,군산,2012-03-20 20:00,59.12
140,군산,2012-03-20 21:00,59.28
140,군산,2012-03-20 22:00,57.12
140,군산,2012-03-20 23:00,57.45
143,대구,2012-03-20 00:00,44.38
143,대구,2012-03-20 01:00,44.67
143,대구,2012-03-20 02:00,44.82
143,대구,2012-03-20 03:00,45.78
143,대구,2012-03-20 04:00,46.04
143,대구,2012-03-20 05:00,46.49
143,대구,2012-03-20 06:00,47.90
143,대구,2012-03-20 07:00,48.37
143,대구,2012-03-20 08:00,46.99
143,대구,2012-03-20 09:00,45.03
143,대구,2012-03-20 10:00,44.91
143,대구,2012-03-20 11:00,38.46
143,대구,2012-03-20 12:00,32.32
143,대구,2012-03-20 13:00,29.12
143,대구,2012-03-20 14:00,26.59
143,대구,2012-03-20 15:00,25.49
143,대구,2012-03-20 16:00,26.74
143,대구,2012-03-20 17:00,25.66
143,대구,2012-03-20 18:00,26.89
143,대구,2012-03-20 19:00,29.67
143,대구,2012-03-20 20:00,31.73
143,대구,2012-03-20 21:00,34.09
143,대구,2012-03-20 22:00,36.22
143,대구,2012-03-20 23:00,37.43
146,전주,2012-03-20 00:00,61.99
146,전주,2012-03-20 01:00,64.26
146,전주,2012-03-20 02:00,65.45
146,전주,2012-03-20 03:00,66.50
146,전주,2012-03-20 04:00,67.32
146,전주,2012-03-20 05:00,68.55
146,전주,2012-03-20 06:00,69.61
146,전주,2012-03-20 07:00,70.16
146,전주,2012-03-20 08:00,70.07
146,전주,2012-03-20 09:00,66.51
146,전주,2012-03-20 10:00,57.48
146,전주,2012-03-20 11:00,48.86
146,전주,2012-03-20 12:00,44.81
146,전주,2012-03-20 13:00,42.19
146,전주,2012-03-20 14:00,42.43
146,전주,2012-03-20 15:00,41.83
146,전주,2012-03-20 16:00,46.11
146,전주,2012-03-20 17:00,46.39
146,전주,2012-03-20 18:00,47.29
146,전주,2012-03-20 19:00,47.94
146,전주,2012-03-20 20:00,50.92
146,전주,2012-03-20 21:00,53.59
146,전주,2012-03-20 22:00,55.09
146,전주,2012-03-20 23:00,57.39
152,울산,2012-03-20 00:00,68.67
152,울산,2012-03-20 01:00,63.08
152,울산,2012-03-20 02:00,61.80
152,울산,2012-03-20 03:00,58.17
152,울산,2012-03-20 04:00,59.17
152,울산,2012-03-20 05:00,58.83
152,울산,2012-03-20 06:00,58.25
152,울산,2012-03-20 07:00,59.71
152,울산,2012-03-20 08:00,56.82
152,울산,2012-03-20 09:00,53.07
152,울산,2012-03-20 10:00,48.93
152,울산,2012-03-20 11:00,45.24
